Episode,AgentID,FinalX,FinalY,TotalReward,FoodCollected,CollisionCount,EpisodeLength,RandomActions,GreedyActions
1,0,6,8,-127,7,1,200,43,157
1,1,9,7,-94,10,1,200,37,163
1,2,3,3,-46,14,0,200,47,153
2,0,7,3,-73,13,4,200,38,162
2,1,7,2,-143,7,5,200,47,153
2,2,2,8,-39,15,1,200,33,167
3,0,1,4,-59,15,6,200,51,149
3,1,5,3,-76,12,2,200,44,156
3,2,3,5,-70,14,6,200,47,153
4,0,6,8,-61,13,1,200,34,166
4,1,6,5,-58,14,3,200,46,154
4,2,2,8,-73,13,4,200,37,163
5,0,4,7,-101,9,0,200,47,153
5,1,2,5,-54,14,2,200,40,160
5,2,0,6,12,20,2,200,39,161
6,0,5,6,-35,15,0,200,47,153
6,1,0,5,-123,7,0,200,35,165
6,2,8,0,-13,17,0,200,42,158
7,0,6,5,9,19,0,200,38,162
7,1,8,4,-68,12,0,200,47,153
7,2,8,2,42,22,0,200,40,160
8,0,4,4,-2,18,0,200,36,164
8,1,8,4,-65,13,2,200,34,166
8,2,6,6,67,25,2,200,35,165
9,0,0,4,-39,15,1,200,41,159
9,1,5,6,-50,14,1,200,48,152
9,2,7,5,-57,13,0,200,48,152
10,0,5,2,-138,6,1,200,44,156
10,1,9,5,-69,13,3,200,26,174
10,2,4,9,-84,12,4,200,37,163
11,0,1,8,-118,10,7,200,43,157
11,1,6,5,-175,3,2,200,42,158
11,2,2,8,-66,14,5,200,47,153
12,0,0,2,-43,15,2,200,47,153
12,1,9,6,-146,6,3,200,39,161
12,2,7,4,82,26,1,200,40,160
13,0,9,0,-92,12,6,200,44,156
13,1,6,0,-147,7,6,200,40,160
13,2,1,5,20,20,0,200,53,147
14,0,1,5,-110,10,5,200,33,167
14,1,8,8,-88,12,5,200,45,155
14,2,1,0,-18,18,4,200,34,166
15,0,7,2,-54,14,2,200,40,160
15,1,3,6,38,22,1,200,33,167
15,2,4,6,38,22,1,200,39,161
16,0,8,4,1,19,2,200,42,158
16,1,3,1,-98,10,2,200,36,164
16,2,4,4,-65,13,2,200,27,173
17,0,1,9,-10,18,2,200,47,153
17,1,3,1,38,22,1,200,27,173
17,2,4,8,71,25,1,200,48,152
18,0,6,1,1,19,2,200,35,165
18,1,0,7,-43,15,2,200,39,161
18,2,3,6,42,22,0,200,43,157
19,0,0,6,-57,13,0,200,42,158
19,1,6,6,5,19,1,200,44,156
19,2,5,1,-6,18,1,200,36,164
20,0,4,3,30,22,3,200,46,154
20,1,1,5,-54,14,2,200,34,166
20,2,1,1,-39,15,1,200,46,154
21,0,5,2,-14,18,3,200,51,149
21,1,2,2,29,23,6,200,40,160
21,2,8,0,39,25,9,200,39,161
22,0,5,1,-3,19,3,200,33,167
22,1,5,7,-22,18,5,200,42,158
22,2,4,4,67,25,2,200,39,161
23,0,0,5,-18,18,4,200,49,151
23,1,6,7,-13,17,0,200,45,155
23,2,2,6,-51,15,4,200,43,157
24,0,2,5,-3,19,3,200,35,165
24,1,8,0,-28,16,1,200,46,154
24,2,9,3,15,21,4,200,37,163
25,0,0,6,-10,18,2,200,34,166
25,1,5,3,52,24,3,200,43,157
25,2,1,9,121,31,5,200,40,160
26,0,0,3,55,25,5,200,44,156
26,1,2,8,8,20,3,200,32,168
26,2,5,3,89,27,2,200,45,155
27,0,9,7,115,29,1,200,48,152
27,1,2,4,-65,13,2,200,34,166
27,2,2,5,-28,16,1,200,38,162
28,0,1,1,118,30,3,200,31,169
28,1,3,4,-18,18,4,200,44,156
28,2,9,2,71,25,1,200,32,168
29,0,1,2,-89,13,8,200,32,168
29,1,4,8,-103,11,6,200,38,162
29,2,6,5,26,22,4,200,41,159
30,0,0,4,49,23,1,200,36,164
