Episode,AgentID,FinalX,FinalY,TotalReward,FoodCollected,CollisionCount,EpisodeLength,RandomActions,GreedyActions
51,2,5,4,5,19,1,200,48,152
52,0,2,9,188,36,2,200,38,162
52,1,2,2,110,30,5,200,32,168
52,2,3,1,-3,19,3,200,41,159
53,0,1,4,26,22,4,200,43,157
53,1,6,6,195,37,3,200,38,162
53,2,3,0,82,26,1,200,42,158
54,0,5,8,148,32,1,200,38,162
54,1,9,9,96,28,3,200,34,166
54,2,1,8,-73,13,4,200,32,168
55,0,8,6,272,44,3,200,43,157
55,1,5,2,-7,19,4,200,35,165
55,2,7,0,63,25,3,200,41,159
56,0,7,7,313,47,1,200,46,154
56,1,0,3,87,29,8,200,42,158
56,2,1,0,113,31,7,200,40,160
57,0,1,3,192,36,1,200,45,155
57,1,3,1,162,34,3,200,34,166
57,2,1,6,221,39,2,200,40,160
58,0,2,4,9,19,0,200,42,158
58,1,6,8,-2,18,0,200,45,155
58,2,3,9,141,31,0,200,35,165
59,0,2,8,-15,19,6,200,44,156
59,1,3,0,136,36,15,200,41,159
59,2,6,0,26,26,15,200,48,152
60,0,1,8,192,36,1,200,41,159
60,1,5,5,126,30,1,200,54,146
60,2,3,6,152,32,0,200,53,147
61,0,2,3,132,32,5,200,43,157
61,1,8,4,143,33,5,200,46,154
61,2,9,4,75,25,0,200,34,166
62,0,8,5,181,39,12,200,35,165
62,1,9,3,178,38,10,200,43,157
62,2,9,4,164,40,19,200,40,160
63,0,8,6,93,27,1,200,33,167
63,1,5,3,99,29,5,200,38,162
63,2,0,8,-48,16,6,200,39,161
64,0,7,8,217,39,3,200,41,159
64,1,4,2,89,27,2,200,31,169
64,2,3,4,203,37,1,200,43,157
65,0,2,3,44,24,5,200,42,158
65,1,2,0,229,39,0,200,50,150
65,2,7,5,165,35,5,200,35,165
66,0,0,1,64,24,0,200,38,162
66,1,6,3,181,35,1,200,43,157
66,2,8,3,93,27,1,200,42,158
67,0,7,1,146,34,7,200,33,167
67,1,6,1,59,25,4,200,37,163
67,2,5,7,341,51,5,200,26,174
68,0,4,1,282,46,6,200,43,157
68,1,7,5,150,34,6,200,38,162
68,2,5,8,163,33,0,200,47,153
69,0,6,5,-51,15,4,200,47,153
69,1,2,8,137,31,1,200,39,161
69,2,7,5,176,36,5,200,41,159
70,0,9,2,250,42,3,200,34,166
70,1,6,3,219,41,8,200,52,148
70,2,5,6,176,36,5,200,41,159
71,0,0,6,84,32,17,200,38,162
71,1,4,1,124,36,18,200,33,167
71,2,6,6,125,31,4,200,28,172
72,0,7,7,225,39,1,200,35,165
72,1,8,4,214,38,1,200,33,167
72,2,3,1,232,40,2,200,43,157
73,0,8,6,210,38,2,200,43,157
73,1,7,5,177,35,2,200,47,153
73,2,2,8,144,32,2,200,38,162
74,0,7,6,298,46,2,200,33,167
74,1,4,2,-61,17,12,200,41,159
