Episode,TotalReward,FoodCollected,EpisodeLength,RandomActions,GreedyActions
1,-24,16,200,43,157
2,-79,11,200,39,161
3,-112,8,200,40,160
4,-35,15,200,50,150
5,-156,4,200,44,156
6,-123,7,200,54,146
7,-57,13,200,42,158
8,-134,6,200,48,152
9,-68,12,200,44,156
10,53,23,200,31,169
11,-13,17,200,37,163
12,-2,18,200,35,165
13,-68,12,200,47,153
14,-35,15,200,40,160
15,-2,18,200,34,166
16,-24,16,200,36,164
17,53,23,200,43,157
18,9,19,200,38,162
19,-46,14,200,43,157
20,-2,18,200,42,158
21,20,20,200,34,166
22,-24,16,200,38,162
23,-2,18,200,58,142
24,-68,12,200,38,162
25,-35,15,200,43,157
26,-2,18,200,39,161
27,141,31,200,39,161
28,130,30,200,40,160
29,42,22,200,38,162
30,-2,18,200,39,161
31,20,20,200,31,169
32,-35,15,200,41,159
33,-57,13,200,49,151
34,75,25,200,32,168
35,42,22,200,43,157
36,97,27,200,45,155
37,64,24,200,36,164
38,-2,18,200,44,156
39,53,23,200,41,159
40,119,29,200,36,164
41,-79,11,200,35,165
42,-2,18,200,38,162
43,108,28,200,37,163
44,97,27,200,41,159
45,31,21,200,37,163
46,-35,15,200,44,156
47,75,25,200,42,158
48,196,36,200,43,157
49,86,26,200,43,157
50,42,22,200,42,158
51,-90,10,200,41,159
52,130,30,200,47,153
53,53,23,200,37,163
54,130,30,200,46,154
55,31,21,200,33,167
56,152,32,200,44,156
57,163,33,200,42,158
58,97,27,200,39,161
59,141,31,200,47,153
60,328,48,200,42,158
61,-112,8,200,35,165
62,31,21,200,39,161
63,108,28,200,39,161
64,86,26,200,40,160
65,119,29,200,38,162
66,108,28,200,46,154
67,174,34,200,43,157
68,174,34,200,48,152
69,295,45,200,49,151
70,130,30,200,36,164
71,174,34,200,49,151
72,141,31,200,38,162
73,163,33,200,38,162
74,152,32,200,49,151
75,196,36,200,41,159
76,108,28,200,46,154
77,86,26,200,32,168
78,383,53,200,36,164
79,130,30,200,56,144
80,-46,14,200,39,161
81,295,45,200,44,156
82,218,38,200,37,163
83,284,44,200,40,160
84,-13,17,200,47,153
85,31,21,200,40,160
86,-2,18,200,44,156
87,174,34,200,27,173
88,152,32,200,33,167
89,251,41,200,37,163
90,262,42,200,35,165
91,174,34,200,35,165
92,31,21,200,42,158
93,218,38,200,32,168
94,383,53,200,41,159
95,-13,17,200,35,165
96,185,35,200,26,174
97,75,25,200,35,165
98,97,27,200,44,156
99,-90,10,200,42,158
100,152,32,200,45,155
101,141,31,200,35,165
102,196,36,200,43,157
103,262,42,200,39,161
104,416,56,200,40,160
105,273,43,200,32,168
106,130,30,200,35,165
107,97,27,200,42,158
108,-13,17,200,38,162
109,64,24,200,30,170
110,86,26,200,45,155
111,196,36,200,44,156
112,-178,2,200,42,158
113,-79,11,200,37,163
114,317,47,200,46,154
115,251,41,200,45,155
116,119,29,200,41,159
117,-68,12,200,39,161
118,130,30,200,33,167
119,-57,13,200,34,166
120,262,42,200,38,162
121,152,32,200,46,154
122,20,20,200,39,161
123,262,42,200,38,162
124,119,29,200,42,158
125,383,53,200,41,159
126,229,39,200,43,157
127,295,45,200,42,158
128,284,44,200,35,165
129,152,32,200,43,157
130,361,51,200,39,161
131,350,50,200,48,152
132,262,42,200,33,167
133,-145,5,200,38,162
134,108,28,200,40,160
135,174,34,200,40,160
136,141,31,200,34,166
137,295,45,200,35,165
138,-2,18,200,41,159
139,273,43,200,38,162
140,31,21,200,36,164
141,317,47,200,39,161
142,-156,4,200,42,158
143,-90,10,200,29,171
144,196,36,200,39,161
145,97,27,200,35,165
146,141,31,200,44,156
147,185,35,200,46,154
148,218,38,200,34,166
149,-35,15,200,40,160
150,218,38,200,47,153
151,174,34,200,39,161
152,-13,17,200,43,157
153,328,48,200,39,161
154,-200,0,200,42,158
155,64,24,200,39,161
156,229,39,200,49,151
157,163,33,200,43,157
158,240,40,200,39,161
159,119,29,200,37,163
160,42,22,200,41,159
161,-24,16,200,43,157
162,141,31,200,40,160
163,174,34,200,30,170
164,-79,11,200,42,158
165,-46,14,200,36,164
166,-13,17,200,41,159
167,20,20,200,39,161
168,416,56,200,38,162
169,64,24,200,38,162
170,75,25,200,36,164
171,-24,16,200,38,162
172,108,28,200,34,166
173,-79,11,200,40,160
174,-24,16,200,38,162
175,273,43,200,47,153
176,383,53,200,43,157
177,108,28,200,38,162
178,163,33,200,45,155
179,350,50,200,36,164
180,97,27,200,51,149
181,-167,3,200,35,165
182,251,41,200,54,146
183,185,35,200,38,162
184,273,43,200,43,157
185,86,26,200,46,154
186,196,36,200,44,156
187,130,30,200,45,155
188,42,22,200,41,159
189,97,27,200,40,160
190,273,43,200,39,161
191,9,19,200,40,160
192,-46,14,200,46,154
193,75,25,200,58,142
194,317,47,200,46,154
195,163,33,200,39,161
196,251,41,200,40,160
197,-35,15,200,42,158
198,86,26,200,37,163
199,141,31,200,27,173
200,-35,15,200,35,165
201,97,27,200,47,153
202,97,27,200,48,152
203,328,48,200,32,168
204,350,50,200,43,157
205,-68,12,200,41,159
206,97,27,200,36,164
207,152,32,200,35,165
208,-57,13,200,34,166
209,240,40,200,48,152
210,240,40,200,55,145
211,328,48,200,34,166
212,-112,8,200,32,168
213,-46,14,200,38,162
214,229,39,200,35,165
215,229,39,200,39,161
216,262,42,200,49,151
217,163,33,200,41,159
218,229,39,200,56,144
219,372,52,200,40,160
220,75,25,200,39,161
221,86,26,200,45,155
222,-90,10,200,42,158
223,86,26,200,35,165
224,295,45,200,41,159
225,119,29,200,32,168
226,372,52,200,38,162
227,97,27,200,45,155
228,207,37,200,37,163
229,372,52,200,38,162
230,361,51,200,47,153
231,97,27,200,36,164
232,130,30,200,44,156
233,372,52,200,36,164
234,-24,16,200,40,160
235,119,29,200,39,161
236,295,45,200,40,160
237,108,28,200,35,165
238,-2,18,200,50,150
239,53,23,200,28,172
240,284,44,200,44,156
241,9,19,200,41,159
242,207,37,200,37,163
243,383,53,200,36,164
244,-68,12,200,47,153
245,-57,13,200,37,163
246,427,57,200,38,162
247,86,26,200,44,156
248,64,24,200,45,155
249,262,42,200,41,159
250,-13,17,200,38,162
251,75,25,200,50,150
252,262,42,200,45,155
253,-2,18,200,40,160
254,185,35,200,49,151
255,196,36,200,46,154
256,240,40,200,34,166
257,-101,9,200,33,167
258,-24,16,200,33,167
259,394,54,200,38,162
260,163,33,200,45,155
261,328,48,200,40,160
262,9,19,200,36,164
263,229,39,200,31,169
264,64,24,200,40,160
265,394,54,200,38,162
266,97,27,200,37,163
267,229,39,200,41,159
268,141,31,200,36,164
269,86,26,200,48,152
270,185,35,200,44,156
271,-46,14,200,37,163
272,163,33,200,38,162
273,-112,8,200,44,156
274,130,30,200,40,160
275,97,27,200,39,161
276,284,44,200,49,151
277,64,24,200,44,156
278,9,19,200,44,156
279,174,34,200,45,155
280,-123,7,200,37,163
281,-200,0,200,33,167
282,64,24,200,38,162
283,240,40,200,50,150
284,317,47,200,45,155
285,273,43,200,26,174
286,471,61,200,43,157
287,53,23,200,42,158
288,119,29,200,39,161
289,295,45,200,43,157
290,97,27,200,44,156
291,339,49,200,38,162
292,295,45,200,44,156
293,240,40,200,41,159
294,306,46,200,42,158
295,240,40,200,43,157
296,306,46,200,43,157
297,75,25,200,36,164
298,-167,3,200,47,153
299,240,40,200,38,162
300,163,33,200,38,162
301,141,31,200,37,163
302,108,28,200,43,157
303,218,38,200,33,167
304,-178,2,200,40,160
305,-79,11,200,40,160
306,53,23,200,45,155
307,207,37,200,36,164
308,207,37,200,41,159
309,196,36,200,35,165
310,174,34,200,46,154
311,273,43,200,38,162
312,141,31,200,42,158
313,251,41,200,33,167
314,-13,17,200,39,161
315,229,39,200,38,162
