Episode,AgentID,FinalX,FinalY,TotalReward,FoodCollected,CollisionCount,EpisodeLength,RandomActions,GreedyActions
1,0,9,0,-44,16,5,200,36,164
1,1,6,6,-21,17,2,200,39,161
1,2,2,8,-151,7,7,200,42,158
2,0,1,1,-32,16,2,200,32,168
2,1,3,6,-43,15,2,200,46,154
2,2,2,7,-84,12,4,200,42,158
3,0,7,1,111,29,2,200,37,163
3,1,4,4,45,23,2,200,42,158
3,2,5,2,-79,11,0,200,37,163
4,0,7,2,-65,13,2,200,46,154
4,1,7,6,-65,13,2,200,41,159
4,2,8,5,64,24,0,200,44,156
5,0,5,1,-139,7,4,200,50,150
5,1,0,3,-28,16,1,200,39,161
5,2,1,4,-77,13,5,200,41,159
6,0,6,0,-68,12,0,200,30,170
6,1,5,3,-68,12,0,200,44,156
6,2,8,2,75,25,0,200,40,160
7,0,6,7,34,22,2,200,40,160
7,1,0,0,41,23,3,200,48,152
7,2,5,3,-80,12,3,200,46,154
8,0,8,4,-1,21,8,200,47,153
8,1,8,8,5,19,1,200,27,173
8,2,5,2,36,24,7,200,35,165
9,0,8,0,170,34,1,200,46,154
9,1,6,8,19,21,3,200,41,159
9,2,2,8,-18,18,4,200,38,162
10,0,8,8,158,34,4,200,43,157
10,1,9,1,92,28,4,200,41,159
10,2,1,4,-32,16,2,200,49,151
11,0,5,8,0,20,5,200,38,162
11,1,3,8,184,36,3,200,36,164
11,2,2,4,144,32,2,200,44,156
12,0,9,6,170,34,1,200,38,162
12,1,7,4,-6,18,1,200,44,156
12,2,3,1,34,22,2,200,35,165
13,0,0,1,85,27,3,200,37,163
13,1,0,5,102,30,7,200,38,162
13,2,1,2,128,32,6,200,40,160
14,0,0,6,-6,18,1,200,38,162
14,1,4,1,96,28,3,200,39,161
14,2,9,3,166,34,2,200,41,159
15,0,8,1,65,27,8,200,31,169
15,1,4,2,47,25,7,200,40,160
15,2,1,8,5,19,1,200,45,155
16,0,8,1,130,30,0,200,44,156
16,1,2,0,1,19,2,200,45,155
16,2,8,7,89,27,2,200,44,156
17,0,5,1,162,34,3,200,42,158
17,1,5,7,100,28,2,200,36,164
17,2,9,0,236,40,1,200,40,160
18,0,9,4,108,28,0,200,32,168
18,1,0,7,75,25,0,200,41,159
18,2,4,2,9,19,0,200,46,154
19,0,4,8,133,31,2,200,42,158
19,1,4,6,137,31,1,200,44,156
19,2,0,3,107,29,3,200,39,161
20,0,3,5,121,31,5,200,47,153
20,1,7,6,165,35,5,200,45,155
20,2,1,4,86,26,0,200,36,164
21,0,9,4,-50,18,12,200,37,163
21,1,7,8,148,36,12,200,35,165
21,2,4,6,1,19,2,200,24,176
22,0,3,7,262,42,0,200,35,165
22,1,1,5,203,37,1,200,44,156
22,2,6,2,258,42,1,200,38,162
23,0,6,6,218,38,0,200,45,155
23,1,8,1,163,33,0,200,37,163
23,2,1,6,75,25,0,200,39,161
24,0,5,3,158,34,4,200,37,163
24,1,9,5,-8,20,7,200,31,169
24,2,4,7,169,35,4,200,35,165
25,0,5,5,56,28,13,200,36,164
25,1,5,3,48,28,15,200,45,155
25,2,9,1,5,23,12,200,40,160
26,0,3,0,63,25,3,200,42,158
26,1,5,9,188,36,2,200,44,156
26,2,8,6,217,39,3,200,45,155
27,0,0,8,179,37,7,200,37,163
27,1,1,0,125,31,4,200,37,163
27,2,9,4,206,38,3,200,36,164
28,0,4,5,118,30,3,200,38,162
28,1,0,4,141,31,0,200,37,163
28,2,4,4,85,27,3,200,36,164
29,0,7,4,215,41,9,200,36,164
29,1,8,4,237,43,9,200,35,165
29,2,0,6,199,37,2,200,40,160
